filename,no_bg,segmentation,highlight,total_pixels_fg,sick_pixels,percent_sick,cluster_centers_bgr,cluster_scores,sick_clusters
0003_0001.JPG,no_bg\0003_0001_no_bg.png,kmeans_seg\0003_0001_seg.png,highlighted\0003_0001_highlight.png,4614,619,13.416,"[[49, 94, 63], [6, 9, 7], [79, 123, 88]]","[38.0, 2.5, 39.5]",[1]
0003_0002.JPG,no_bg\0003_0002_no_bg.png,kmeans_seg\0003_0002_seg.png,highlighted\0003_0002_highlight.png,4329,715,16.517,"[[56, 114, 79], [7, 11, 8], [83, 137, 100]]","[46.5, 3.5, 45.5]",[1]
0003_0003.JPG,no_bg\0003_0003_no_bg.png,kmeans_seg\0003_0003_seg.png,highlighted\0003_0003_highlight.png,4923,739,15.011,"[[99, 121, 95], [7, 10, 9], [52, 86, 69]]","[24.0, 2.0, 25.5]",[1]
0003_0004.JPG,no_bg\0003_0004_no_bg.png,kmeans_seg\0003_0004_seg.png,highlighted\0003_0004_highlight.png,5459,699,12.805,"[[4, 7, 6], [53, 110, 79], [24, 81, 56]]","[2.0, 44.0, 41.0]",[0]
0003_0005.JPG,no_bg\0003_0005_no_bg.png,kmeans_seg\0003_0005_seg.png,highlighted\0003_0005_highlight.png,3661,590,16.116,"[[61, 112, 82], [5, 8, 6], [22, 84, 53]]","[40.5, 2.5, 46.5]",[1]
0011_0001.JPG,no_bg\0011_0001_no_bg.png,kmeans_seg\0011_0001_seg.png,highlighted\0011_0001_highlight.png,6921,1303,18.827,"[[45, 91, 66], [67, 115, 87], [5, 9, 7]]","[35.5, 38.0, 3.0]",[2]
0011_0002.JPG,no_bg\0011_0002_no_bg.png,kmeans_seg\0011_0002_seg.png,highlighted\0011_0002_highlight.png,4323,740,17.118,"[[35, 80, 55], [4, 8, 6], [59, 103, 80]]","[35.0, 3.0, 33.5]",[1]
0011_0003.JPG,no_bg\0011_0003_no_bg.png,kmeans_seg\0011_0003_seg.png,highlighted\0011_0003_highlight.png,5664,1354,23.905,"[[45, 89, 64], [5, 8, 7], [67, 111, 82]]","[34.5, 2.0, 36.5]",[1]
0011_0004.JPG,no_bg\0011_0004_no_bg.png,kmeans_seg\0011_0004_seg.png,highlighted\0011_0004_highlight.png,6843,1949,28.482,"[[60, 111, 77], [6, 10, 7], [87, 127, 97]]","[42.5, 3.5, 35.0]",[1]
0011_0005.JPG,no_bg\0011_0005_no_bg.png,kmeans_seg\0011_0005_seg.png,highlighted\0011_0005_highlight.png,7778,1832,23.554,"[[80, 119, 84], [6, 11, 8], [55, 104, 71]]","[37.0, 4.0, 41.0]",[1]
0014_0001.JPG,no_bg\0014_0001_no_bg.png,kmeans_seg\0014_0001_seg.png,highlighted\0014_0001_highlight.png,2872,593,20.648,"[[93, 143, 108], [9, 13, 9], [67, 119, 81]]","[42.5, 4.0, 45.0]",[1]
0014_0002.JPG,no_bg\0014_0002_no_bg.png,kmeans_seg\0014_0002_seg.png,highlighted\0014_0002_highlight.png,4442,767,17.267,"[[108, 181, 166], [66, 140, 112], [9, 18, 15]]","[44.0, 51.0, 6.0]",[2]
0014_0003.JPG,no_bg\0014_0003_no_bg.png,kmeans_seg\0014_0003_seg.png,highlighted\0014_0003_highlight.png,5736,755,13.162,"[[83, 125, 88], [7, 11, 8], [57, 107, 69]]","[39.5, 3.5, 44.0]",[1]
0014_0004.JPG,no_bg\0014_0004_no_bg.png,kmeans_seg\0014_0004_seg.png,highlighted\0014_0004_highlight.png,3695,508,13.748,"[[41, 90, 58], [6, 9, 7], [70, 116, 83]]","[40.5, 2.5, 39.5]",[1]
0014_0005.JPG,no_bg\0014_0005_no_bg.png,kmeans_seg\0014_0005_seg.png,highlighted\0014_0005_highlight.png,6406,829,12.941,"[[81, 128, 101], [9, 13, 10], [59, 108, 79]]","[37.0, 3.5, 39.0]",[1]
0022_0001.JPG,no_bg\0022_0001_no_bg.png,kmeans_seg\0022_0001_seg.png,highlighted\0022_0001_highlight.png,6849,1558,22.748,"[[78, 124, 92], [7, 11, 9], [59, 104, 75]]","[39.0, 3.0, 37.0]",[1]
0022_0002.JPG,no_bg\0022_0002_no_bg.png,kmeans_seg\0022_0002_seg.png,highlighted\0022_0002_highlight.png,6168,1486,24.092,"[[53, 101, 75], [6, 11, 8], [78, 129, 101]]","[37.0, 4.0, 39.5]",[1]
0022_0003.JPG,no_bg\0022_0003_no_bg.png,kmeans_seg\0022_0003_seg.png,highlighted\0022_0003_highlight.png,4291,975,22.722,"[[87, 137, 155], [7, 13, 11], [61, 108, 83]]","[16.0, 4.0, 36.0]",[1]
0022_0004.JPG,no_bg\0022_0004_no_bg.png,kmeans_seg\0022_0004_seg.png,highlighted\0022_0004_highlight.png,5150,1234,23.961,"[[5, 10, 9], [70, 139, 116], [51, 115, 92]]","[3.0, 46.0, 43.5]",[0]
0022_0005.JPG,no_bg\0022_0005_no_bg.png,kmeans_seg\0022_0005_seg.png,highlighted\0022_0005_highlight.png,6562,1264,19.262,"[[38, 77, 53], [4, 8, 6], [59, 100, 73]]","[31.5, 3.0, 34.0]",[1]
