Cluster,L_opencv,a_opencv,b_opencv,RGB_center,Hue_deg,Sat,Val,Label,LabelColor,Gambar
0,118,106,148,"(83, 119, 75)",109.09,0.37,0.467,Sehat,"(0, 255, 0)",0003_0001_nobg.png
1,3,127,128,"(2, 5, 4)",160.0,0.6,0.02,Sakit Berat,"(255, 0, 0)",0003_0001_nobg.png
2,92,107,150,"(61, 93, 48)",102.67,0.484,0.365,Sehat,"(0, 255, 0)",0003_0001_nobg.png
3,165,107,154,"(136, 166, 109)",91.58,0.343,0.651,Sehat,"(0, 255, 0)",0003_0001_nobg.png
4,50,120,136,"(40, 50, 36)",102.86,0.28,0.196,Sehat,"(0, 255, 0)",0003_0001_nobg.png
0,109,105,155,"(76, 110, 55)",97.09,0.5,0.431,Sehat,"(0, 255, 0)",0003_0002_nobg.png
1,4,126,129,"(2, 7, 3)",132.0,0.714,0.027,Sehat,"(0, 255, 0)",0003_0002_nobg.png
2,148,104,153,"(111, 150, 95)",102.55,0.367,0.588,Sehat,"(0, 255, 0)",0003_0002_nobg.png
3,125,103,155,"(88, 127, 69)",100.34,0.457,0.498,Sehat,"(0, 255, 0)",0003_0002_nobg.png
4,54,119,137,"(42, 54, 37)",102.35,0.315,0.212,Sehat,"(0, 255, 0)",0003_0002_nobg.png
0,101,111,146,"(75, 100, 63)",100.54,0.37,0.392,Sehat,"(0, 255, 0)",0003_0003_nobg.png
1,4,127,128,"(3, 6, 6)",180.0,0.5,0.024,Sakit Berat,"(255, 0, 0)",0003_0003_nobg.png
2,81,117,144,"(66, 79, 49)",86.0,0.38,0.31,Sehat,"(0, 255, 0)",0003_0003_nobg.png
3,127,114,135,"(97, 125, 106)",139.29,0.224,0.49,Sakit Berat,"(255, 0, 0)",0003_0003_nobg.png
4,42,123,134,"(37, 43, 32)",92.73,0.256,0.169,Sehat,"(0, 255, 0)",0003_0003_nobg.png
0,116,105,155,"(83, 117, 61)",96.43,0.479,0.459,Sehat,"(0, 255, 0)",0003_0004_nobg.png
1,3,127,128,"(2, 5, 4)",160.0,0.6,0.02,Sakit Berat,"(255, 0, 0)",0003_0004_nobg.png
2,75,108,157,"(51, 77, 20)",87.37,0.74,0.302,Sehat,"(0, 255, 0)",0003_0004_nobg.png
3,42,120,138,"(34, 43, 26)",91.76,0.395,0.169,Sehat,"(0, 255, 0)",0003_0004_nobg.png
4,98,107,156,"(70, 99, 43)",91.07,0.566,0.388,Sehat,"(0, 255, 0)",0003_0004_nobg.png
0,81,104,160,"(50, 83, 19)",90.94,0.771,0.325,Sehat,"(0, 255, 0)",0003_0005_nobg.png
1,3,127,128,"(2, 5, 4)",160.0,0.6,0.02,Sakit Berat,"(255, 0, 0)",0003_0005_nobg.png
2,104,107,153,"(74, 104, 54)",96.0,0.481,0.408,Sehat,"(0, 255, 0)",0003_0005_nobg.png
3,44,120,136,"(35, 45, 31)",102.86,0.311,0.176,Sehat,"(0, 255, 0)",0003_0005_nobg.png
4,129,107,151,"(97, 129, 80)",99.18,0.38,0.506,Sehat,"(0, 255, 0)",0003_0005_nobg.png
0,106,108,151,"(77, 106, 59)",97.02,0.443,0.416,Sehat,"(0, 255, 0)",0011_0001_nobg.png
1,4,127,129,"(4, 6, 3)",100.0,0.5,0.024,Sehat,"(0, 255, 0)",0011_0001_nobg.png
2,88,110,151,"(64, 88, 43)",92.0,0.511,0.345,Sehat,"(0, 255, 0)",0011_0001_nobg.png
3,120,108,151,"(91, 120, 72)",96.25,0.4,0.471,Sehat,"(0, 255, 0)",0011_0001_nobg.png
4,43,120,137,"(34, 45, 29)",101.25,0.356,0.176,Sehat,"(0, 255, 0)",0011_0001_nobg.png
0,42,120,138,"(34, 43, 26)",91.76,0.395,0.169,Sehat,"(0, 255, 0)",0011_0002_nobg.png
1,87,108,152,"(60, 88, 41)",95.74,0.534,0.345,Sehat,"(0, 255, 0)",0011_0002_nobg.png
2,3,127,129,"(3, 5, 2)",100.0,0.6,0.02,Sehat,"(0, 255, 0)",0011_0002_nobg.png
3,110,110,150,"(84, 109, 64)",93.33,0.413,0.427,Sehat,"(0, 255, 0)",0011_0002_nobg.png
4,75,109,150,"(50, 76, 34)",97.14,0.553,0.298,Sehat,"(0, 255, 0)",0011_0002_nobg.png
0,41,120,137,"(33, 43, 27)",97.5,0.372,0.169,Sehat,"(0, 255, 0)",0011_0003_nobg.png
1,3,127,128,"(2, 5, 4)",160.0,0.6,0.02,Sakit Berat,"(255, 0, 0)",0011_0003_nobg.png
2,118,107,150,"(86, 118, 72)",101.74,0.39,0.463,Sehat,"(0, 255, 0)",0011_0003_nobg.png
3,86,110,148,"(60, 86, 46)",99.0,0.465,0.337,Sehat,"(0, 255, 0)",0011_0003_nobg.png
4,102,108,149,"(72, 102, 59)",101.86,0.422,0.4,Sehat,"(0, 255, 0)",0011_0003_nobg.png
0,33,120,135,"(25, 36, 23)",110.77,0.361,0.141,Sehat,"(0, 255, 0)",0011_0004_nobg.png
1,113,105,152,"(78, 114, 64)",103.2,0.439,0.447,Sehat,"(0, 255, 0)",0011_0004_nobg.png
2,131,108,146,"(98, 131, 91)",109.5,0.305,0.514,Sehat,"(0, 255, 0)",0011_0004_nobg.png
3,3,127,128,"(2, 5, 4)",160.0,0.6,0.02,Sakit Berat,"(255, 0, 0)",0011_0004_nobg.png
4,83,116,140,"(64, 81, 57)",102.5,0.296,0.318,Sehat,"(0, 255, 0)",0011_0004_nobg.png
0,120,106,146,"(83, 121, 80)",115.61,0.339,0.475,Sehat,"(0, 255, 0)",0011_0005_nobg.png
1,3,127,128,"(2, 5, 4)",160.0,0.6,0.02,Sakit Berat,"(255, 0, 0)",0011_0005_nobg.png
2,105,106,151,"(72, 106, 58)",102.5,0.453,0.416,Sehat,"(0, 255, 0)",0011_0005_nobg.png
3,72,116,139,"(54, 71, 49)",106.36,0.31,0.278,Sehat,"(0, 255, 0)",0011_0005_nobg.png
4,31,120,135,"(24, 35, 22)",110.77,0.371,0.137,Sehat,"(0, 255, 0)",0011_0005_nobg.png
0,4,127,128,"(3, 6, 6)",180.0,0.5,0.024,Sakit Berat,"(255, 0, 0)",0014_0001_nobg.png
1,121,103,153,"(83, 123, 69)",104.44,0.439,0.482,Sehat,"(0, 255, 0)",0014_0001_nobg.png
2,98,113,141,"(73, 97, 69)",111.43,0.289,0.38,Sehat,"(0, 255, 0)",0014_0001_nobg.png
3,143,104,152,"(106, 145, 92)",104.15,0.366,0.569,Sehat,"(0, 255, 0)",0014_0001_nobg.png
4,48,120,134,"(37, 49, 37)",120.0,0.245,0.192,Sakit Berat,"(255, 0, 0)",0014_0001_nobg.png
0,77,115,150,"(62, 76, 36)",81.0,0.526,0.298,Sehat,"(0, 255, 0)",0014_0002_nobg.png
1,190,112,163,"(177, 190, 118)",70.83,0.379,0.745,Sehat,"(0, 255, 0)",0014_0002_nobg.png
2,6,126,129,"(4, 10, 6)",140.0,0.6,0.039,Sehat,"(0, 255, 0)",0014_0002_nobg.png
3,134,105,164,"(106, 135, 61)",83.51,0.548,0.529,Sehat,"(0, 255, 0)",0014_0002_nobg.png
4,155,105,164,"(127, 156, 81)",83.2,0.481,0.612,Sehat,"(0, 255, 0)",0014_0002_nobg.png
